n.id,numberOfConnectedEdges
"""FCRL1""",556
"""LINC00618""",1
"""MIR5590""",1
"""C1orf174""",238
"""TMEM249""",330
"""WDHD1""",1048
"""OR2M5""",503
"""CWF19L2""",926
"""MIR4777""",1
"""BIN3""",355
"""LYL1""",251
"""CBY3""",263
"""LINC02132""",1
"""LINC02733""",2
"""TRMT10C""",342
"""PGK1""",312
"""ENOPH1""",189
"""ST3GAL3-AS1""",1
"""TAF1B""",528
"""MATN2""",886
"""LRRC8B""",516
"""FNDC3A""",915
"""SNORD114-6""",1
"""NUP188""",1479
"""STAC""",439
"""TACR2""",399
"""TRBV27""",114
"""ATP8B2""",979
"""PTGES3L-AARSD1""",528
"""EYA2""",523
"""FAM181B""",466
"""LINC02602""",2
"""ZNF540""",620
"""VPS11""",774
"""ZNF667""",642
"""LINC02047""",1
"""NAT10""",912
"""CASP10""",591
"""LINC00667""",1
"""MIR3130-1""",1
"""FKBP9""",509
"""GCSAML""",196
"""G2E3""",522
"""DEFB108C""",1
"""BPIFB2""",470
"""MYOT""",438
"""DYNLL2""",47
"""OSBPL5""",922
"""SAPCD2""",341
"""SPECC1L""",944
"""IGFBP2""",313
"""MIR7113""",1
"""MAGEA9""",11
"""RAD23B""",313
"""USP38""",864
"""RNASE1""",158
"""MIR3119-2""",1
"""DSCAM""",1872
"""ELL2""",518
"""LINC02719""",1
"""CARD14""",1229
"""MIR3198-1""",1
"""SLC5A4-AS1""",1
"""TRBV29-1""",116
"""MIR548A1""",1
"""PRKAG1""",300
"""CKAP2L""",707
"""MAGI1-AS1""",1
"""ASCL1""",211
"""DLGAP1-AS1""",1
"""NSD2""",1086
"""REREP2Y""",1
"""LINC00533""",1
"""GTPBP4""",624
"""MIR548A1HG""",1
"""MIR4504""",1
"""SERPINI2""",426
"""BTAF1""",1199
"""BVES-AS1""",2
"""HIGD1B""",149
"""ZNF80""",334
"""AP1G2-AS1""",1
"""IFNL3""",265
"""DPY19L2P4""",1
"""WRN""",1465
"""DCAF7""",133
"""FRMPD2""",1332
"""DAAM1""",854
"""HDHD5-AS1""",2
"""BORA""",561
"""ST6GALNAC4""",312
"""TAB2""",531
"""UGDH-AS1""",1
"""LINC02556""",1
"""MIR6089""",1
"""C7orf33""",201
"""YBX3P1""",1
"""CHML""",754
"""SMARCE1""",413
"""LAMB2""",1711
"""SPDYE3""",508
"""ZNF316""",579
"""OSBPL1A""",787
"""RHBDD3""",456
"""FASTKD5""",657
"""CEP170P1""",2
"""ITGB7""",717
"""LINC00298""",1
"""ARSD-AS1""",1
"""LINC01541""",2
"""UNC119""",274
"""LINC00851""",1
"""EEF1AKMT2""",280
"""PMS2P5""",4
"""SPDYE4""",258
"""C19orf85""",158
"""H2BC21""",122
"""PRSS41""",307
"""SNORD10""",1
"""LINC02352""",1
"""RPL39""",17
"""HSD17B12""",378
"""NTN1""",595
"""SF3A2""",357
"""DOCK1""",1559
"""NDST4""",909
"""SNORD115-26""",1
"""LINC01038""",1
"""IQCC""",548
"""H2BW3P""",1
"""CHROMR""",3
"""PAK5""",700
"""SLC35F1""",331
"""CYSTM1""",105
"""TNFAIP6""",270
"""RMND5B""",437
"""IRAK1""",536
"""CDK5""",173
"""LINC00434""",1
"""CORO1A-AS1""",1
"""KRTAP1-4""",148
"""MIR3158-2""",1
"""SNORD44""",1
"""ZNF738""",234
"""ZNF777""",654
"""LINC00443""",1
"""METTL21A""",344
"""SNORD113-7""",1
"""ADAM18""",845
"""PPP2R3A""",1094
"""HOGA1""",371
"""GALNT11""",610
"""MACORIS""",1
"""MAP4K2""",753
"""FAM227B""",620
"""POLR3F""",230
"""ENOX1-AS2""",1
"""NTRK2""",663
"""SAXO2""",473
"""TMEM221""",245
"""ANKRD7""",267
"""OSBPL3""",870
"""CALML6""",198
"""SNORA70J""",1
"""TNPO3""",678
"""MIR3127""",1
"""SYNJ2""",1482
"""MIR4279""",1
"""ST3GAL6-AS1""",1
"""MIR497HG""",1
"""NPM1""",269
"""ZNF555""",599
"""MUC19""",976
"""ZNF701""",651
"""RN7SL3""",1
"""ST3GAL5""",623
"""BCAP29""",467
"""MIR6851""",1
"""CBX7""",236
"""PRKAA2""",459
"""HOXA-AS2""",1
"""PALM2""",5
"""PTDSS2""",406
"""ASAP3""",868
"""GUCY1B2""",2
"""FAM89A""",173
"""GIGYF2""",1070
"""PTDSS1""",410
"""TMEM231""",468
"""LINC01572""",4
"""DNAAF1""",1006
"""SLC38A2""",397
"""RGS17""",182
"""JOSD2""",184
"""IGHV3-20""",258
"""ZNF831""",1946
"""LINC02894""",1
"""PINCR""",1
"""TM7SF3""",559
"""PTPN9""",468
"""SERPINH1""",484
"""CERCAM""",706
"""IL6R""",515
"""LRRC47""",540
"""LRFN5-DT""",4
"""LINC01941""",1
"""TAB3-AS1""",1
"""MIR548AI""",1
"""CAPG""",364
"""SLFN5""",835
"""BMP1""",1008
"""OR4F21""",214
"""CACNA1I""",1735
"""TOP2B""",1012
"""OTOAP1""",1
"""MELK""",637
"""TAS2R5""",271
"""WIPF3""",591
"""OBSL1""",2176
"""SERPINB2""",514
"""RELL2""",306
"""LINC00896""",1
"""MAGEA6""",412
"""IP6K1""",314
"""MIR27B""",1
"""PKD1""",5769
"""FAM230G""",2
"""SLC4A1""",855
"""FAM90A2P""",4
"""RBM5""",540
"""CBFB""",309
"""MIR4259""",1
"""CNNM3""",645
"""MIR4274""",1
"""CD164""",260
"""HSPA2""",500
"""DDX55""",615
"""TMEM179B""",266
"""NUMB""",562
"""PECAM1""",286
"""LINC02163""",1
"""DOCK4""",1773
"""ARHGEF2-AS1""",1
"""TRAPPC5""",166
"""C8orf89""",146
"""LEFTY2""",385
"""PGBP""",1
"""TFAP2C""",368
"""SNORD116-16""",1
"""FAM216B""",141
"""SLC30A8""",407
"""PHOSPHO2""",223
"""MYPN""",1406
"""LINC02725""",1
"""MIR548E""",1
"""APOD""",232
"""SNORD6""",1
"""SMIM5""",90
"""PWARSN""",1
"""DDX39A""",336
"""MIR3907""",1
"""BAGE4""",1
"""GPR141""",376
"""PELO""",365
"""IGHV1-69-2""",29
"""HACE1""",658
"""C12orf42""",526
"""SMOX""",492
"""LNPK""",431
"""DNAAF10""",5
"""MAP1LC3B""",215
"""TMOD1""",300
"""SNORD116-21""",1
"""MIR4458HG""",1
"""SEL1L3""",1006
"""SLC22A11""",576
"""ING3""",260
"""RNF187""",154
"""LINC01282""",1
"""PYDC2""",135
"""RBM15""",867
"""H3C3""",3
"""CRTAP""",420
"""SLIT1""",1303
"""SPDYE21""",300
"""SLC25A36""",225
"""GHITM""",320
"""ABHD12B""",368
"""LINC01797""",2
"""LIN7A""",247
"""DNHD1""",3983
"""C6orf89""",338
"""DOCK5""",1743
"""SPC24""",356
"""SIGLEC10""",766
"""SYT10""",543
"""PITPNM3""",839
"""EPN2""",611
"""TTTY6B""",1
"""GET1""",253
"""STMP1""",40
"""TKFC""",621
"""ZNF35""",403
"""DEFB131B""",60
"""NUP35""",312
"""ZCCHC4""",497
"""ATXN7L1""",864
"""MPV17L2""",219
"""TLR10""",820
"""LINC02402""",1
"""LINC01811""",10
"""SPAG11B""",320
"""HNF4A-AS1""",1
"""SNORA71B""",1
"""SLC19A3""",618
"""SLC4A5""",1137
"""C19orf33""",4
"""TMEM266""",533
"""LINC02620""",1
"""EIF4E""",184
"""RPTOR""",997
"""FGF13-AS1""",1
"""LINC02236""",1
"""MUC1""",905
"""PLD4""",610
"""HLA-DRB6""",2
"""LINC02445""",2
"""NES""",1573
"""GGA1""",613
"""ERP29""",286
"""OR10AC1""",4
"""NCS1""",94
"""LINC00958""",1
"""CDK15""",453
"""RNF20""",657
"""HCAR2""",414
"""C9orf92""",4
"""UBR5""",1658
"""MTUS1""",1906
"""LINC01908""",1
"""SMARCB1""",374
"""LINC02881""",2
"""MIR5685""",1
"""TMCO5A""",319
"""LRRC70""",410
"""FGFR3""",1065
"""TGOLN2""",552
"""DHRS4""",410
"""DSEL-AS1""",1
"""MSANTD3-TMEFF1""",226
"""NRBP1""",280
"""USP7-AS1""",1
"""ETV2""",474
"""CARD11-AS1""",1
"""OR5M11""",361
"""PLSCR5""",316
"""MINDY4B""",323
"""PLLP""",173
"""MIR3922""",1
"""MIR520D""",1
"""HAAO""",337
"""LINC01780""",1
"""RXFP2""",669
"""IGSF21-AS1""",3
"""FAM27E4""",4
"""FSTL4""",786
"""IMPA1P1""",1
"""CEP43""",401
"""FAM90A24P""",1
"""PSORS1C3""",13
"""ACTL7B""",496
"""LYSMD1""",210
"""MIR1321""",1
"""CFAP61""",1384
"""LPAR4""",301
"""KCNJ4""",293
"""LRCH4""",731
"""RSU1""",243
"""MIR5047""",1
"""IDH2-DT""",1
"""IL17REL""",347
"""LY6G5C""",228
"""MIR376A2""",1
"""IFI35""",321
"""ATP9B""",1365
"""WBP11""",442
"""TPTE2P6""",1
"""SEMA5A-AS1""",1
"""MIR6800""",1
"""CRABP1""",167
"""BAG5""",424
"""GSE1""",2374
"""SLC37A1""",463
"""LINC02563""",1
"""KRTAP4-4""",210
"""GPR42""",258
"""UQCRH""",125
"""PRSS8""",278
"""SNORD21""",1
"""TMEM270""",336
"""SLC31A1""",138
"""EIF3IP1""",1
"""CNIH2""",104
"""OR2J3""",373
"""LAGE3""",135
"""CYP20A1""",476
"""OR52A1""",292
"""CCL13""",97
"""KIAA1217""",2064
"""PTEN""",873
"""PTPRF""",1815
"""FBXO27""",374
"""ERVH48-1""",108
"""EXOC8""",576
"""ZNF292""",2351
"""MIR4431""",1
"""SGF29""",200
"""CENPN""",408
"""SLC22A23""",683
"""CYP2F1""",612
"""MIR640""",1
"""PHYHD1""",409
"""CLCN7""",926
"""IGIP""",55
"""RASSF9""",407
"""HBB""",714
"""TTTY4B""",1
"""MIR936""",1
"""CCDC120""",579
"""RPS9""",174
"""CILK1""",548
"""SNORA50A""",1
"""GIMAP8""",686
"""SNORA13""",1
"""FBXO42""",547
"""RFX6""",863
"""ZNF565""",437
"""ZNF407-AS1""",1
"""MPHOSPH9""",1023
"""POTEB""",222
"""FAM220A""",340
"""NBPF1""",2182
"""MIR3192""",1
"""H4C4""",3
"""GIMAP6""",440
"""RHEBL1""",181
"""OR8G5""",273
"""TPRA1""",452
"""ELK3""",392
"""FAM95B1""",1
"""BRK1""",46
"""DIO2""",350
"""DYNLT2""",193
"""LINC02014""",1
"""CYP2U1""",471
"""ERO1A""",379
"""NR4A2""",555
"""MIR6881""",1
"""COL22A1""",2043
"""GPM6B""",196
"""MEOX1""",296
"""LINC00463""",1
"""PGLYRP1""",209
"""LINC01494""",1
"""LY6G6D""",177
"""ERVV-1""",349
"""DCLK2""",719
"""MRPS10""",200
"""NPB""",163
"""CCN1""",399
"""ZFAT-AS1""",1
"""SEPTIN6""",267
"""TMEM101""",254
"""IGKV3-11""",411
"""OR13C2""",429
"""SERTAD3-AS1""",1
"""TEX21P""",1
"""MIR6724-4""",1
"""ZNF350""",477
"""GPR4""",306
"""SLC25A3""",424
"""ZNNT1""",1
"""CDKL3""",621
"""ANKRD55""",621
"""BTN2A2""",587
"""PRR23D1""",153
"""PDGFD""",431
"""MIR3945""",1
"""B4GALT7""",421
"""LINC02356""",1
"""KRTAP13-1""",211
"""BCO1""",615
"""EPB41L4A""",843
"""ZNHIT1""",147
"""LINC01849""",1
"""MMP8""",578
"""DEFB110""",149
"""SERF1A""",59
"""TEX11""",562
"""IL17A""",124
"""HMGCS1""",300
"""TMEM91""",262
"""ATF7""",367
"""ITIH4""",840
"""SCP2""",493
"""NEK7""",247
"""OPN4""",589
"""CTR9""",698
"""GOLGA3""",1554
"""MIR22HG""",5
"""TRAV1-2""",102
"""TTC39C""",497
"""RNA5-8SN1""",1
"""VKORC1L1""",213
"""MIRLET7E""",1
"""NIPAL3""",467
"""TNFSF12""",228
"""LINC01518""",4
"""USP32P1""",1
"""NADK2""",338
"""LINGO4""",531
"""MIR3074""",1
"""TEX55""",578
"""UVRAG""",627
"""ASB7""",169
"""LRRC75B""",334
"""MAGEA2""",20
"""SIRPB2""",350
"""CCNJL""",554
"""KIF23-AS1""",3
"""RPS6KL1""",631
"""CACNA1C""",2277
"""LINC00540""",1
"""MSANTD1""",332
"""WDR61""",227
"""HMGCLL1""",474
"""HSH2D""",383
"""BFSP2""",418
"""EXPH5""",1956
"""ENPP6""",466
"""RTCA""",360
"""RAB9A""",98
"""LINC01996""",1
"""SAP30L""",155
"""SNORA55""",1
"""ZNF436-AS1""",3
"""CPEB2""",1034
"""MIR4709""",1
"""LINC02521""",2
"""KBTBD11""",754
"""PYCR2""",319
"""MIR636""",1
"""JPT2""",266
"""LAMA3""",3220
"""MIR323B""",1
"""MYH13""",2032
"""SNORD115-47""",1
"""UPP2""",376
"""LINC01470""",1
"""OR10D3""",280
"""ZNF490""",462
"""REV1""",1036
"""GNB1""",203
"""LINC02684""",2
"""MIR8075""",1
"""CNR2""",351
"""TAPBPL""",455
"""PKNOX2""",481
"""DGKH""",938
"""IATPR""",1
"""LONRF3""",556
"""PRSS1""",481
"""SNORD72""",1
"""SPOUT1""",366
"""GNPTAB""",1126
"""CHODL-AS1""",1
"""GMFB""",102
"""PGBD1""",735
"""RUNX1T1""",871
"""SNORD81""",1
"""MIR1-2""",1
"""EGFLAM-AS1""",1
"""ENTPD4""",708
"""H1-3""",528
"""MIR4428""",1
"""EFS""",575
"""ICE1""",2036
"""PALS2""",20
"""DCAF4L1""",311
"""RIOK3""",443
"""MAST4""",2488
"""MIR4474""",1
"""DPPA2P3""",1
"""SRD5A1""",294
"""PMEPA1""",373
"""FRG2""",204
"""ZNF614""",573
"""CTXN3""",80
"""APBA3""",701
"""MIR4708""",1
"""POLR3B""",821
"""ABCC10""",1466
"""TMPRSS11F""",449
"""ZC3H8""",202
"""MIR106A""",1
"""CDKN2D""",163
"""GAL3ST1""",489
"""FOXP1""",776
"""RBM11""",318
"""PRSS3""",306
"""HLA-C""",9355
"""CEBPG""",133
"""SERPINB12""",485
"""SSB""",265
"""RAMP2-AS1""",2
"""LYPD9P""",1
"""MIR6806""",1
"""MUC7""",452
"""LINC00272""",1
"""SNAR-A13""",1
"""SLC7A11""",438
"""MIR3184""",1
"""DLX4""",321
"""ZBED4""",929
"""OR2AP1""",351
"""STARD3NL""",214
"""POM121L1P""",2
"""ELMO1""",645
"""NPHP4""",1702
"""TMEM185A""",220
"""LINC00400""",1
"""MDGA2""",1084
"""GCAT""",573
"""LCN12""",254
"""FBXL14""",264
"""GABARAPL1""",189
"""LRSAM1""",861
"""ABCC11""",1475
"""SENP3-EIF4A1""",350
"""UTY""",753
"""GUCA2A""",164
"""LINC02713""",4
"""FGB""",507
"""NANOG""",304
"""LINC02704""",2
"""ZCCHC9""",245
"""LRRC71""",608
"""KRTAP4-11""",305
"""LINC02192""",1
"""MYBL2""",592
"""GSTM5""",276
"""THNSL1""",698
"""UBB""",116
"""DEFB105B""",89
"""NR2F1""",270
"""MYO3B""",1376
"""NOMO2""",617
"""NR4A1AS""",1
"""SNAI3""",379
"""SH3D21""",746
"""F13B""",709
"""SUMO4""",85
"""RDH5""",321
"""CATSPER3""",385
"""RFX1""",876
"""TOPAZ1""",1258
"""SYTL5""",572
"""PLEKHA1""",518
"""TRAV18""",124
"""ARHGEF12""",1117
"""LINC01570""",1
"""CNPY2""",167
"""NABP1-OT1""",1
"""MIR3156-1""",1
"""DUSP8""",519
"""POTEF-AS1""",1
"""MAZ""",845
"""LINC02413""",1
"""SHH""",492
"""RAB37""",373
"""SSR2""",178
"""TMBIM7P""",1
"""MIR2113""",1
"""PPP1R2B""",208
"""SNORD73A""",1
"""CNTRL""",1793
"""MIR302E""",1
"""MAP1S""",1433
"""PLS3""",325
"""EIF3E""",516
"""C4B_2""",390
"""LINC02485""",1
"""ITPK1-AS1""",1
"""CPA2""",436
"""RPUSD1""",665
"""TESC""",247
"""MIR6859-1""",1
"""ZNF350-AS1""",1
"""PLTP""",507
"""GSR""",518
"""UCN""",131
"""BAHD1""",714
"""LINC01081""",1
"""NECAP1""",282
"""LINC00235""",1
"""RAB35""",201
"""PTENP1-AS""",1
"""VMA21""",149
"""DAZAP1""",317
"""RNF186""",256
"""CYP2A6""",635
"""LINC01913""",1
"""ARHGAP8""",803
"""MIX23""",133
"""GML""",239
"""IBA57-DT""",3
"""PGP""",248
"""C13orf46""",118
"""CLDND1""",350
"""MIR3162""",1
"""KTN1""",1231
"""TRAV8-6""",115
"""TMEM220-AS1""",4
"""DISC1FP1""",1
"""GRIN2B""",1504
"""TPBG""",463
"""LBX1""",269
"""PDIA3""",466
"""EPB41""",998
"""RHOD""",203
"""PAGR1""",255
"""OOSP2""",157
"""SNORA63B""",1
"""SOST""",222
"""ADAM7""",879
"""BBIP1""",146
"""MIR3621""",1
"""TMEM167B""",101
"""DDA1""",85
"""TBC1D2""",894
"""USP26""",709
"""LINC02199""",1
"""OR14J1""",338
"""ANKIB1""",766
"""KLRK1-AS1""",1
"""ZNF18""",485
"""JTB""",123
"""CDC42P3""",1
"""UBXN1""",306
"""PPP2R1B""",647
"""CT47A7""",5
"""ENDOG""",289
"""PYURF""",102
"""C2orf88""",115
"""CUL4B""",436
"""SNORA10""",1
"""PIPOX""",402
"""STAT4""",564
"""SEC11A""",198
"""SLC23A1""",584
"""SCGB1D4""",66
"""LINC02880""",1
"""MTRR""",808
"""TRAV9-1""",133
"""AKT2""",526
"""ETFBKMT""",240
"""IGHD6-19""",38
"""KRT26""",494
"""LINC02780""",8
"""SLC15A5""",451
"""C1GALT1C1L""",302
"""PFN1""",210
"""KERA""",392
"""SLC12A9-AS1""",1
"""UBAC2""",359
"""ABRACL""",104
"""MKNK1""",528
"""GRIN2C""",1201
"""UBR3""",1162
"""GPRC5B""",385
"""ALDH5A1""",573
"""MYH14""",2010
"""RAB40C""",267
"""GRB14""",549
"""MIR153-1""",1
"""SNORD115-42""",1
"""MIR3199-1""",1
"""AHSA2P""",10
"""SLC16A10""",421
"""CCDC83""",459
"""HMGN2P46""",5
"""NR2C1""",509
"""CROT""",643
"""NOTCH2NLB""",67
"""FGD5-AS1""",5
"""CASC3""",656
"""SUFU""",462
"""RECK""",796
"""MSLN""",887
"""NIPAL1""",362
"""KCNJ2-AS1""",1
"""APLNR""",403
"""SLC7A3""",395
"""CD300A""",323
"""SCN3B""",254
"""LTV1""",394
"""RETREG2""",503
"""MIR10226""",1
"""ACSL6""",760
"""UNC5D""",975
"""RAB6D""",210
"""RTN4RL1""",386
"""SEC22C""",364
"""IFNA1""",4
"""FNDC7""",669
"""RGPD4-AS1""",1
"""SAR1B""",192
"""MIR548U""",1
"""HHEX""",247
"""LINC01210""",1
"""LINC01340""",1
"""IGKV1D-12""",176
"""MIR513A2""",1
"""DIP2B""",1140
"""LINC00545""",1
"""MIR6819""",1
"""LINC01354""",1
"""NUDT4P2""",1
"""LINC01719""",2
"""CFAP161""",299
"""C3orf18""",232
"""RUFY2""",546
"""SNAP29""",299
"""LINC02571""",1
"""AQP5""",278
"""SNORD160""",1
"""MIR206""",1
"""NPEPPS""",704
"""ANKRD13D""",547
"""GALE""",377
"""ABHD16A""",435
"""GNA13""",262
"""CDIN1""",344
"""SLC16A7""",577
"""RPAIN""",269
"""CDC45""",602
"""COL18A1-AS2""",1
"""FOXD4""",752
"""MIR1226""",1
"""LINC02167""",1
"""LINC02361""",1
"""PIWIL1""",705
"""MIR604""",1
"""LINC02294""",1
"""PLAAT5""",320
"""DYNC2H1""",3870
"""TAAR5""",423
"""MEF2B""",410
"""IGHV3-11""",418
"""GAGE2E""",60
"""JKAMP""",266
"""MIR3059""",1
"""GAGE2A""",119
"""OR11L1""",404
"""GBP6""",643
"""GLT8D1""",319
"""MIR564""",1
"""KIF12""",715
"""CXCL12""",269
"""RMDN1""",510
"""ST3GAL5-AS1""",1
"""ZNF382""",486
"""OPN1MW2""",137
"""FOXL3-OT1""",1
"""RNF151""",332
"""MIR1302-1""",1
"""SERPINB3""",520
"""C9orf135-DT""",1
"""ZFP91-CNTF""",370
"""RNF216P1""",4
"""C12orf54""",159
"""SWI5""",199
"""SNORD7""",1
"""GTPBP8""",339
"""TTLL4""",1126
"""FOXCUT""",1
"""KBTBD4""",534
"""NPAS3""",949
"""EIF4EBP2""",128
"""KLHL29""",619
"""PBX3""",359
"""DEFA1B""",6
"""MAPK1IP1L""",204
"""ZDHHC4""",384
"""GSTT2B""",182
"""SPDYE16""",215
"""DIPK1C""",434
"""TFCP2L1""",391
"""RDH10""",196
"""OR5H6""",380
"""GSTM3""",223
"""DHX15""",321
"""UBXN11""",589
"""CGN""",1176
"""PRDM2""",1578
"""KRTAP29-1""",267
"""SPAG16""",936
"""RPS6KC1""",1032
"""FUT10""",473
"""NLRP4""",1127
"""CIB2""",322
"""LINC02650""",1
"""ZNF700""",830
"""RABEPK""",505
"""EIF2B4""",558
"""ARHGEF16""",718
"""TTTY19""",1
"""LYRM1""",212
"""MIR6788""",1
"""KLRG1""",184
"""RNASET2""",448
"""PCAT29""",2
"""TRMT1""",796
"""BATF3""",101
"""ATP7B""",1741
"""INSL4""",193
"""TENT5D""",290
"""CASP3""",218
"""EBF4""",550
"""HINT2""",158
"""ZNF846""",566
"""TRAJ50""",33
"""MIR153-2""",1
"""TCIRG1""",959
"""IL5RA""",523
"""SLX1B-SULT1A4""",1
"""MIR196A2""",1
"""TNFSF8""",229
"""CCNA2""",280
"""GRHL2""",390
"""LINC02251""",3
"""SRP54""",264
"""SNORA11""",1
"""RPS6KA3""",352
"""CCDC144B""",5
"""KANTR""",27
"""POLDIP3""",479
"""SRRM2""",3835
"""ZNF280C""",388
"""MYH8""",1935
"""ABHD11-AS1""",1
"""IFITM5""",190
"""LINC01839""",2
"""DTX1""",573
"""CD320""",361
"""GTPBP3""",734
"""NUDT13""",333
"""TEX46""",122
"""OR9A2""",312
"""MAPK10-AS1""",1
"""RASGRF2-AS1""",1
"""ZNF286A-TBC1D26""",1
"""OR4K15""",431
"""LINC02165""",4
"""PLCD3""",800
"""FAM13A-AS1""",1
"""OR4F13P""",1
"""SUN5""",476
"""SPSB3""",369
"""PTGER3""",658
"""KCNAB1-AS2""",1
"""PYROXD1""",470
"""POLR2K""",53
"""BTF3P11""",1
"""FAM247D""",1
"""AMELY""",72
"""VRK3""",541
"""MTIF3""",283
"""MIR4261""",1
"""MIR4731""",1
"""ZMIZ1""",925
"""BACH1""",681
"""KIF2B""",915
"""KAAG1""",95
"""FMOD""",388
"""PLSCR1""",307
"""OFD1""",751
"""C12orf60""",267
"""BRINP3""",1016
"""PRDM9""",1426
"""VCAM1""",678
"""WNT10B""",415
"""NLRP6""",888
"""DMTN""",506
"""CDK2AP1""",89
"""EXOSC6""",352
"""DPM3""",121
"""CA5A""",457
"""NBN""",1181
"""FAM153DP""",1
"""KRAS""",236
"""MAPKAPK2""",278
"""ZNF133""",727
"""CAT""",516
"""SIX3""",288
"""STARD4-AS1""",1
"""SNORD115-16""",1
"""LINC02686""",1
"""MIR4448""",1
"""FAM230E""",2
"""GATA2""",497
"""AP4S1""",240
"""FRMPD3-AS1""",1
"""ASB2""",761
"""SCGN""",297
"""CCNL1""",419
"""CCNF""",805
"""LINC02072""",1
"""CES4A""",632
"""EXTL2""",304
"""MIR6131""",1
"""ALG1L""",294
"""LRRC45""",651
"""MIR17""",1
"""SNORD83A""",1
"""LIMD1""",635
"""LINC02059""",1
"""OR7E91P""",1
"""TCF15""",202
"""SNORA11F""",1
"""HMGN4""",80
"""SNORD3B-1""",1
"""MIR325""",1
"""SNORD116-29""",1
"""MIR3150B""",1
"""ARHGDIA""",440
"""OR8K1""",389
"""SLC22A14""",596
"""FER1L6-AS2""",2
"""WSPAR""",1
"""ZSCAN26""",428
"""LINC00315""",1
"""RP1""",3209
"""LINC01809""",1
"""SLC2A6""",589
"""ATP6V0B""",256
"""NAPSB""",1
"""NAT14""",272
"""OR4C6""",512
"""CCDC18-AS1""",1
"""TARS1""",713
"""CACNA1S""",2114
"""LINC00886""",1
"""CNIH1""",121
"""FAM66C""",1
"""MOS""",380
"""PTPN5""",582
"""SPTY2D1OS""",56
"""MAPKAPK5""",384
"""TUBA1B""",184
"""POLR1E""",470
"""ELOVL5""",329
"""SLC10A4""",351
"""LINC02332""",1
"""GPR107""",448
"""SNORD115-15""",1
"""TTC30B""",689
"""UST-AS2""",1
"""ESCO2""",507
"""TMCO2""",142
"""ORM2""",248
"""CR1L""",634
"""MIR11399""",1
"""CAPN6""",443
"""SGSM3-AS1""",2
"""TWF2""",324
"""ATP9A""",756
"""SUGT1P1""",1
"""FGF9""",150
"""DLC1""",2090
"""LINC01989""",1
"""SERGEF""",588
"""MTMR12""",597
"""FABP1""",147
"""CASC19""",1
"""FAM236C""",67
"""PFN2""",151
"""DOCK11""",1195
"""FABP9""",152
"""GKAP1""",306
"""FOXN4""",541
"""SPDYE5""",480
"""ZNF133-AS1""",4
"""CHRD""",990
"""MIR4313""",1
"""HEXIM1""",293
"""GLUD1""",365
"""F10-AS1""",1
"""TEX13C""",667
"""STK38""",335
"""AFF1""",1260
"""ERC1""",983
"""SRARP""",179
"""LINC01558""",2
"""SLCO6A1""",797
"""PIGA""",389
"""RFPL2""",455
"""GEMIN4""",1113
"""ULK4P1""",1
"""LINC02753""",2
"""LINC01613""",1
"""TRERF1""",1137
"""FSCN2""",677
"""BTLA""",214
"""SSR3""",174
"""FOLH1B""",5
"""KRTAP5-9""",177
"""MIR3689B""",1
"""HDHD5""",454
"""CLDN14""",259
"""TCEAL5""",154
"""LINC02630""",1
"""RAB36""",357
"""FAM242F""",1
"""ARHGAP28-AS1""",1
"""MIR3975""",1
"""DNM2""",866
"""KLKB1""",696
"""TMEM35B""",101
"""FGF5""",341
"""HDC""",609
"""CASTOR2""",106
"""KCNA10""",572
"""SLAMF8""",342
"""MTOR-AS1""",1
"""CAMKK2""",633
"""CCDC183-AS1""",1
"""ZBTB46""",579
"""FOSL1""",294
"""IGHV3OR16-13""",148
"""STYXL2""",1392
"""GK2""",593
"""NTM""",509
"""PCDHGA10""",928
"""ASB18""",530
"""GOLGA4""",1957
"""VPS26B""",256
"""OR6K2""",458
"""CASC17""",1
"""RNU1-2""",1
"""TMED2-DT""",1
"""CNOT1""",1325
"""ZNF43""",968
"""SRSF3P2""",1
"""MIR765""",1
"""SHCBP1L""",686
"""CCDC197""",279
"""TMEM134""",353
"""ZNF610""",465
"""SSH2""",1234
"""MTMR3""",938
"""TMPRSS11BNL""",1
"""B4GALT1""",356
"""SLC30A1""",332
"""KATNAL1""",386
"""LINC01471""",1
"""MMP15""",698
"""OR4F15""",335
"""NR0B2""",256
"""LINC01678""",1
"""STAG3""",1052
"""TTYH1""",555
"""TBCK""",847
"""MYC""",701
"""CEBPB""",305
"""NUP37""",296
"""TPTEP2-CSNK1E""",2
"""ACSS3""",759
"""RPL9""",154
"""RAB29""",181
"""ACCS""",540
"""HPD""",355
"""LINC01922""",1
"""ORMDL2""",128
"""DLEU1""",5
"""MIR451B""",1
"""ALKBH5""",272
"""MIRLET7B""",1
"""HLA-DMB""",246
"""DEFB4B""",138
"""JRKL-AS1""",1
"""LINC02333""",1
"""WDR7-OT1""",1
"""MAP3K5-AS1""",1
"""MIR7854""",1
"""MIR6843""",1
"""ZBED2""",261
"""LINC01644""",1
"""CGB8""",506
"""ROGDI""",590
"""ELDR""",1
"""BTNL10""",10
"""SNORD58C""",1
"""ZNF367""",226
"""NDUFS8""",314
"""LINC01118""",1
"""POLR2J2""",73
"""PROC""",551
"""RUNX2-AS1""",7
"""DSN1""",315
"""LAMA1""",3198
"""INPP4A""",853
"""NLRP10""",726
"""PHRF1""",1940
"""GLIS3""",1325
"""SNORD46""",1
"""BATF2""",272
"""BRME1""",710
